X-axis,10,15,20,25,30,35,40,45,50
Social Welfare
Only DIBR,13.966412775646228,19.660419645103552,25.985496106872983,33.64576797586866,39.261296998799864,46.87168433281794,52.24352701836019,56.16958326688327,59.0292490877619
Only D2D,14.163041723373937,20.475567621774456,27.61809899298833,36.95450785449006,43.17276959839011,50.180424211439345,55.79074286564935,59.09707714584023,62.220312424061454
SE,47.96029427681906,50.53312074338521,52.30853971846583,53.61912084017414,54.405313610320476,55.023372582403304,55.361010508001776,55.37423067763051,57.550874312113386
TCATB-P,47.393908907958654,62.54434689865293,72.22243184585136,78.31640101951983,81.62091946217602,84.97313291699977,86.24390023487686,87.85559766306186,88.76266835293768
TCATB,48.160294276819066,63.482334576959616,73.0199322677743,79.81616281084611,83.61280628111498,87.51893710281175,89.09424883942457,92.9483015664554,95.34691212567176
Sum Rate
Only DIBR,6.476612485720656,8.94099124298413,12.02560300287281,15.311780240469227,18.21928438937024,22.125393167577066,25.569936167410926,27.781186633111712,29.084018705048813
Only D2D,6.353778344599602,8.86252705510903,11.879838559419586,15.128064605788385,18.278523487858756,21.932379780807246,25.193309403216922,26.6774613715042,26.98990334760621
SE,26.765071757795717,28.33994251362473,28.294240004328305,28.17935603836873,27.843620545390603,27.30578782086048,27.33536037494067,27.24904781755155,26.275902813008038
TCATB-P,27.37514730537804,27.90293693307035,27.836055017936012,27.68991393244469,27.345551128009298,27.31746161561524,26.911316723158354,27.68813744999584,27.29258193367093
TCATB,26.89152705629966,27.589045738653063,27.727747205629775,27.089771787283343,26.95767713667859,26.581132934899312,26.277391171555117,26.660093549876326,26.68861044726495
Average view satisfaction
Only DIBR,6.300371097653811,6.384889325680635,6.130449366797054,6.201168085247973,5.895014485058773,5.957020408992833,5.769552737759502,5.65264987067509,5.64003208456077
Only D2D,6.200520551860357,6.422771462154716,6.076749878037575,6.258327201053864,5.949044230197755,5.99843725964333,5.870205781891753,5.613974054539275,5.634682296966575
SE,4.7185924719874235,4.637894306850578,4.7693203792590815,4.758542214991469,4.803487204240991,4.758002753080467,4.724673182740967,4.617807275883965,4.604552339035414
TCATB-P,4.739390890795866,5.919179190240649,6.8942157347565285,7.331943622051102,7.638826694113331,7.952668861163369,8.069494614986922,8.138816112159379,8.221277083966273
TCATB,4.737683381078333,5.843866337036299,6.784993073957695,7.148440389354131,7.429781777447404,7.634841883885409,7.707989757444845,7.848457434293012,7.683267308688931
